Stand,State,Slope,AYD,Treatment Area,Elev,Harvesting System
90,CA,0,500,20,0,Ground-Based Mech WT
91,CA,0,500,30,0,Ground-Based Mech WT
92,CA,0,500,40,0,Ground-Based Mech WT
93,CA,0,500,50,0,Ground-Based Mech WT
94,CA,0,500,60,0,Ground-Based Mech WT
95,CA,0,500,70,0,Ground-Based Mech WT
96,CA,0,500,80,0,Ground-Based Mech WT
97,CA,0,500,90,0,Ground-Based Mech WT
98,CA,0,500,100,0,Ground-Based Mech WT
99,CA,0,500,110,0,Ground-Based Mech WT
100,CA,0,500,120,0,Ground-Based Mech WT
101,CA,0,500,130,0,Ground-Based Mech WT
102,CA,0,500,140,0,Ground-Based Mech WT
103,CA,0,500,150,0,Ground-Based Mech WT
104,CA,0,500,160,0,Ground-Based Mech WT
105,CA,0,500,170,0,Ground-Based Mech WT
106,CA,0,500,180,0,Ground-Based Mech WT
107,CA,0,500,190,0,Ground-Based Mech WT
108,CA,0,600,20,0,Ground-Based Mech WT
109,CA,0,600,30,0,Ground-Based Mech WT
110,CA,0,600,40,0,Ground-Based Mech WT
111,CA,0,600,50,0,Ground-Based Mech WT
112,CA,0,600,60,0,Ground-Based Mech WT
113,CA,0,600,70,0,Ground-Based Mech WT
114,CA,0,600,80,0,Ground-Based Mech WT
115,CA,0,600,90,0,Ground-Based Mech WT
116,CA,0,600,100,0,Ground-Based Mech WT
117,CA,0,600,110,0,Ground-Based Mech WT
118,CA,0,600,120,0,Ground-Based Mech WT
119,CA,0,600,130,0,Ground-Based Mech WT
120,CA,0,600,140,0,Ground-Based Mech WT
121,CA,0,600,150,0,Ground-Based Mech WT
122,CA,0,600,160,0,Ground-Based Mech WT
123,CA,0,600,170,0,Ground-Based Mech WT
124,CA,0,600,180,0,Ground-Based Mech WT
125,CA,0,600,190,0,Ground-Based Mech WT
126,CA,0,700,20,0,Ground-Based Mech WT
127,CA,0,700,30,0,Ground-Based Mech WT
128,CA,0,700,40,0,Ground-Based Mech WT
129,CA,0,700,50,0,Ground-Based Mech WT
130,CA,0,700,60,0,Ground-Based Mech WT
131,CA,0,700,70,0,Ground-Based Mech WT
132,CA,0,700,80,0,Ground-Based Mech WT
133,CA,0,700,90,0,Ground-Based Mech WT
134,CA,0,700,100,0,Ground-Based Mech WT
135,CA,0,700,110,0,Ground-Based Mech WT
136,CA,0,700,120,0,Ground-Based Mech WT
137,CA,0,700,130,0,Ground-Based Mech WT
138,CA,0,700,140,0,Ground-Based Mech WT
139,CA,0,700,150,0,Ground-Based Mech WT
140,CA,0,700,160,0,Ground-Based Mech WT
141,CA,0,700,170,0,Ground-Based Mech WT
142,CA,0,700,180,0,Ground-Based Mech WT
143,CA,0,700,190,0,Ground-Based Mech WT
144,CA,0,800,20,0,Ground-Based Mech WT
145,CA,0,800,30,0,Ground-Based Mech WT
146,CA,0,800,40,0,Ground-Based Mech WT
147,CA,0,800,50,0,Ground-Based Mech WT
148,CA,0,800,60,0,Ground-Based Mech WT
149,CA,0,800,70,0,Ground-Based Mech WT
150,CA,0,800,80,0,Ground-Based Mech WT
151,CA,0,800,90,0,Ground-Based Mech WT
152,CA,0,800,100,0,Ground-Based Mech WT
153,CA,0,800,110,0,Ground-Based Mech WT
154,CA,0,800,120,0,Ground-Based Mech WT
155,CA,0,800,130,0,Ground-Based Mech WT
156,CA,0,800,140,0,Ground-Based Mech WT
157,CA,0,800,150,0,Ground-Based Mech WT
158,CA,0,800,160,0,Ground-Based Mech WT
159,CA,0,800,170,0,Ground-Based Mech WT
160,CA,0,800,180,0,Ground-Based Mech WT
161,CA,0,800,190,0,Ground-Based Mech WT
162,CA,0,900,20,0,Ground-Based Mech WT
163,CA,0,900,30,0,Ground-Based Mech WT
164,CA,0,900,40,0,Ground-Based Mech WT
165,CA,0,900,50,0,Ground-Based Mech WT
166,CA,0,900,60,0,Ground-Based Mech WT
167,CA,0,900,70,0,Ground-Based Mech WT
168,CA,0,900,80,0,Ground-Based Mech WT
169,CA,0,900,90,0,Ground-Based Mech WT
170,CA,0,900,100,0,Ground-Based Mech WT
171,CA,0,900,110,0,Ground-Based Mech WT
172,CA,0,900,120,0,Ground-Based Mech WT
173,CA,0,900,130,0,Ground-Based Mech WT
174,CA,0,900,140,0,Ground-Based Mech WT
175,CA,0,900,150,0,Ground-Based Mech WT
176,CA,0,900,160,0,Ground-Based Mech WT
177,CA,0,900,170,0,Ground-Based Mech WT
178,CA,0,900,180,0,Ground-Based Mech WT
179,CA,0,900,190,0,Ground-Based Mech WT
180,CA,0,1000,20,0,Ground-Based Mech WT
181,CA,0,1000,30,0,Ground-Based Mech WT
182,CA,0,1000,40,0,Ground-Based Mech WT
183,CA,0,1000,50,0,Ground-Based Mech WT
184,CA,0,1000,60,0,Ground-Based Mech WT
185,CA,0,1000,70,0,Ground-Based Mech WT
186,CA,0,1000,80,0,Ground-Based Mech WT
187,CA,0,1000,90,0,Ground-Based Mech WT
188,CA,0,1000,100,0,Ground-Based Mech WT
189,CA,0,1000,110,0,Ground-Based Mech WT
190,CA,0,1000,120,0,Ground-Based Mech WT
191,CA,0,1000,130,0,Ground-Based Mech WT
192,CA,0,1000,140,0,Ground-Based Mech WT
193,CA,0,1000,150,0,Ground-Based Mech WT
194,CA,0,1000,160,0,Ground-Based Mech WT
195,CA,0,1000,170,0,Ground-Based Mech WT
196,CA,0,1000,180,0,Ground-Based Mech WT
197,CA,0,1000,190,0,Ground-Based Mech WT
198,CA,0,1100,20,0,Ground-Based Mech WT
199,CA,0,1100,30,0,Ground-Based Mech WT
200,CA,0,1100,40,0,Ground-Based Mech WT
201,CA,0,1100,50,0,Ground-Based Mech WT
202,CA,0,1100,60,0,Ground-Based Mech WT
203,CA,0,1100,70,0,Ground-Based Mech WT
204,CA,0,1100,80,0,Ground-Based Mech WT
205,CA,0,1100,90,0,Ground-Based Mech WT
206,CA,0,1100,100,0,Ground-Based Mech WT
207,CA,0,1100,110,0,Ground-Based Mech WT
208,CA,0,1100,120,0,Ground-Based Mech WT
209,CA,0,1100,130,0,Ground-Based Mech WT
210,CA,0,1100,140,0,Ground-Based Mech WT
211,CA,0,1100,150,0,Ground-Based Mech WT
212,CA,0,1100,160,0,Ground-Based Mech WT
213,CA,0,1100,170,0,Ground-Based Mech WT
214,CA,0,1100,180,0,Ground-Based Mech WT
215,CA,0,1100,190,0,Ground-Based Mech WT
216,CA,0,1200,20,0,Ground-Based Mech WT
217,CA,0,1200,30,0,Ground-Based Mech WT
218,CA,0,1200,40,0,Ground-Based Mech WT
219,CA,0,1200,50,0,Ground-Based Mech WT
220,CA,0,1200,60,0,Ground-Based Mech WT
221,CA,0,1200,70,0,Ground-Based Mech WT
222,CA,0,1200,80,0,Ground-Based Mech WT
223,CA,0,1200,90,0,Ground-Based Mech WT
224,CA,0,1200,100,0,Ground-Based Mech WT
225,CA,0,1200,110,0,Ground-Based Mech WT
226,CA,0,1200,120,0,Ground-Based Mech WT
227,CA,0,1200,130,0,Ground-Based Mech WT
228,CA,0,1200,140,0,Ground-Based Mech WT
229,CA,0,1200,150,0,Ground-Based Mech WT
230,CA,0,1200,160,0,Ground-Based Mech WT
231,CA,0,1200,170,0,Ground-Based Mech WT
232,CA,0,1200,180,0,Ground-Based Mech WT
233,CA,0,1200,190,0,Ground-Based Mech WT
234,CA,0,1300,20,0,Ground-Based Mech WT
235,CA,0,1300,30,0,Ground-Based Mech WT
236,CA,0,1300,40,0,Ground-Based Mech WT
237,CA,0,1300,50,0,Ground-Based Mech WT
238,CA,0,1300,60,0,Ground-Based Mech WT
239,CA,0,1300,70,0,Ground-Based Mech WT
240,CA,0,1300,80,0,Ground-Based Mech WT
241,CA,0,1300,90,0,Ground-Based Mech WT
242,CA,0,1300,100,0,Ground-Based Mech WT
243,CA,0,1300,110,0,Ground-Based Mech WT
244,CA,0,1300,120,0,Ground-Based Mech WT
245,CA,0,1300,130,0,Ground-Based Mech WT
246,CA,0,1300,140,0,Ground-Based Mech WT
247,CA,0,1300,150,0,Ground-Based Mech WT
248,CA,0,1300,160,0,Ground-Based Mech WT
249,CA,0,1300,170,0,Ground-Based Mech WT
250,CA,0,1300,180,0,Ground-Based Mech WT
251,CA,0,1300,190,0,Ground-Based Mech WT
252,CA,0,1400,20,0,Ground-Based Mech WT
253,CA,0,1400,30,0,Ground-Based Mech WT
254,CA,0,1400,40,0,Ground-Based Mech WT
255,CA,0,1400,50,0,Ground-Based Mech WT
256,CA,0,1400,60,0,Ground-Based Mech WT
257,CA,0,1400,70,0,Ground-Based Mech WT
258,CA,0,1400,80,0,Ground-Based Mech WT
259,CA,0,1400,90,0,Ground-Based Mech WT
260,CA,0,1400,100,0,Ground-Based Mech WT
261,CA,0,1400,110,0,Ground-Based Mech WT
262,CA,0,1400,120,0,Ground-Based Mech WT
263,CA,0,1400,130,0,Ground-Based Mech WT
264,CA,0,1400,140,0,Ground-Based Mech WT
265,CA,0,1400,150,0,Ground-Based Mech WT
266,CA,0,1400,160,0,Ground-Based Mech WT
267,CA,0,1400,170,0,Ground-Based Mech WT
268,CA,0,1400,180,0,Ground-Based Mech WT
269,CA,0,1400,190,0,Ground-Based Mech WT
270,CA,0,1500,20,0,Ground-Based Mech WT
271,CA,0,1500,30,0,Ground-Based Mech WT
272,CA,0,1500,40,0,Ground-Based Mech WT
273,CA,0,1500,50,0,Ground-Based Mech WT
274,CA,0,1500,60,0,Ground-Based Mech WT
275,CA,0,1500,70,0,Ground-Based Mech WT
276,CA,0,1500,80,0,Ground-Based Mech WT
277,CA,0,1500,90,0,Ground-Based Mech WT
278,CA,0,1500,100,0,Ground-Based Mech WT
279,CA,0,1500,110,0,Ground-Based Mech WT
280,CA,0,1500,120,0,Ground-Based Mech WT
281,CA,0,1500,130,0,Ground-Based Mech WT
282,CA,0,1500,140,0,Ground-Based Mech WT
283,CA,0,1500,150,0,Ground-Based Mech WT
284,CA,0,1500,160,0,Ground-Based Mech WT
285,CA,0,1500,170,0,Ground-Based Mech WT
286,CA,0,1500,180,0,Ground-Based Mech WT
287,CA,0,1500,190,0,Ground-Based Mech WT
288,CA,0,1600,20,0,Ground-Based Mech WT
289,CA,0,1600,30,0,Ground-Based Mech WT
290,CA,0,1600,40,0,Ground-Based Mech WT
291,CA,0,1600,50,0,Ground-Based Mech WT
292,CA,0,1600,60,0,Ground-Based Mech WT
293,CA,0,1600,70,0,Ground-Based Mech WT
294,CA,0,1600,80,0,Ground-Based Mech WT
295,CA,0,1600,90,0,Ground-Based Mech WT
296,CA,0,1600,100,0,Ground-Based Mech WT
297,CA,0,1600,110,0,Ground-Based Mech WT
298,CA,0,1600,120,0,Ground-Based Mech WT
299,CA,0,1600,130,0,Ground-Based Mech WT
300,CA,0,1600,140,0,Ground-Based Mech WT
301,CA,0,1600,150,0,Ground-Based Mech WT
302,CA,0,1600,160,0,Ground-Based Mech WT
303,CA,0,1600,170,0,Ground-Based Mech WT
304,CA,0,1600,180,0,Ground-Based Mech WT
305,CA,0,1600,190,0,Ground-Based Mech WT
306,CA,0,1700,20,0,Ground-Based Mech WT
307,CA,0,1700,30,0,Ground-Based Mech WT
308,CA,0,1700,40,0,Ground-Based Mech WT
309,CA,0,1700,50,0,Ground-Based Mech WT
310,CA,0,1700,60,0,Ground-Based Mech WT
311,CA,0,1700,70,0,Ground-Based Mech WT
312,CA,0,1700,80,0,Ground-Based Mech WT
313,CA,0,1700,90,0,Ground-Based Mech WT
314,CA,0,1700,100,0,Ground-Based Mech WT
315,CA,0,1700,110,0,Ground-Based Mech WT
316,CA,0,1700,120,0,Ground-Based Mech WT
317,CA,0,1700,130,0,Ground-Based Mech WT
318,CA,0,1700,140,0,Ground-Based Mech WT
319,CA,0,1700,150,0,Ground-Based Mech WT
320,CA,0,1700,160,0,Ground-Based Mech WT
321,CA,0,1700,170,0,Ground-Based Mech WT
322,CA,0,1700,180,0,Ground-Based Mech WT
323,CA,0,1700,190,0,Ground-Based Mech WT
324,CA,0,1800,20,0,Ground-Based Mech WT
325,CA,0,1800,30,0,Ground-Based Mech WT
326,CA,0,1800,40,0,Ground-Based Mech WT
327,CA,0,1800,50,0,Ground-Based Mech WT
328,CA,0,1800,60,0,Ground-Based Mech WT
329,CA,0,1800,70,0,Ground-Based Mech WT
330,CA,0,1800,80,0,Ground-Based Mech WT
331,CA,0,1800,90,0,Ground-Based Mech WT
332,CA,0,1800,100,0,Ground-Based Mech WT
333,CA,0,1800,110,0,Ground-Based Mech WT
334,CA,0,1800,120,0,Ground-Based Mech WT
335,CA,0,1800,130,0,Ground-Based Mech WT
336,CA,0,1800,140,0,Ground-Based Mech WT
337,CA,0,1800,150,0,Ground-Based Mech WT
338,CA,0,1800,160,0,Ground-Based Mech WT
339,CA,0,1800,170,0,Ground-Based Mech WT
340,CA,0,1800,180,0,Ground-Based Mech WT
341,CA,0,1800,190,0,Ground-Based Mech WT
342,CA,0,1900,20,0,Ground-Based Mech WT
343,CA,0,1900,30,0,Ground-Based Mech WT
344,CA,0,1900,40,0,Ground-Based Mech WT
345,CA,0,1900,50,0,Ground-Based Mech WT
346,CA,0,1900,60,0,Ground-Based Mech WT
347,CA,0,1900,70,0,Ground-Based Mech WT
348,CA,0,1900,80,0,Ground-Based Mech WT
349,CA,0,1900,90,0,Ground-Based Mech WT
350,CA,0,1900,100,0,Ground-Based Mech WT
351,CA,0,1900,110,0,Ground-Based Mech WT
352,CA,0,1900,120,0,Ground-Based Mech WT
353,CA,0,1900,130,0,Ground-Based Mech WT
354,CA,0,1900,140,0,Ground-Based Mech WT
355,CA,0,1900,150,0,Ground-Based Mech WT
356,CA,0,1900,160,0,Ground-Based Mech WT
357,CA,0,1900,170,0,Ground-Based Mech WT
358,CA,0,1900,180,0,Ground-Based Mech WT
359,CA,0,1900,190,0,Ground-Based Mech WT
360,CA,0,2000,20,0,Ground-Based Mech WT
361,CA,0,2000,30,0,Ground-Based Mech WT
362,CA,0,2000,40,0,Ground-Based Mech WT
363,CA,0,2000,50,0,Ground-Based Mech WT
364,CA,0,2000,60,0,Ground-Based Mech WT
365,CA,0,2000,70,0,Ground-Based Mech WT
366,CA,0,2000,80,0,Ground-Based Mech WT
367,CA,0,2000,90,0,Ground-Based Mech WT
368,CA,0,2000,100,0,Ground-Based Mech WT
369,CA,0,2000,110,0,Ground-Based Mech WT
370,CA,0,2000,120,0,Ground-Based Mech WT
371,CA,0,2000,130,0,Ground-Based Mech WT
372,CA,0,2000,140,0,Ground-Based Mech WT
373,CA,0,2000,150,0,Ground-Based Mech WT
374,CA,0,2000,160,0,Ground-Based Mech WT
375,CA,0,2000,170,0,Ground-Based Mech WT
376,CA,0,2000,180,0,Ground-Based Mech WT
377,CA,0,2000,190,0,Ground-Based Mech WT
378,CA,0,2100,20,0,Ground-Based Mech WT
379,CA,0,2100,30,0,Ground-Based Mech WT
380,CA,0,2100,40,0,Ground-Based Mech WT
381,CA,0,2100,50,0,Ground-Based Mech WT
382,CA,0,2100,60,0,Ground-Based Mech WT
383,CA,0,2100,70,0,Ground-Based Mech WT
384,CA,0,2100,80,0,Ground-Based Mech WT
385,CA,0,2100,90,0,Ground-Based Mech WT
386,CA,0,2100,100,0,Ground-Based Mech WT
387,CA,0,2100,110,0,Ground-Based Mech WT
388,CA,0,2100,120,0,Ground-Based Mech WT
389,CA,0,2100,130,0,Ground-Based Mech WT
390,CA,0,2100,140,0,Ground-Based Mech WT
391,CA,0,2100,150,0,Ground-Based Mech WT
392,CA,0,2100,160,0,Ground-Based Mech WT
393,CA,0,2100,170,0,Ground-Based Mech WT
394,CA,0,2100,180,0,Ground-Based Mech WT
395,CA,0,2100,190,0,Ground-Based Mech WT
396,CA,0,2200,20,0,Ground-Based Mech WT
397,CA,0,2200,30,0,Ground-Based Mech WT
398,CA,0,2200,40,0,Ground-Based Mech WT
399,CA,0,2200,50,0,Ground-Based Mech WT
400,CA,0,2200,60,0,Ground-Based Mech WT
401,CA,0,2200,70,0,Ground-Based Mech WT
402,CA,0,2200,80,0,Ground-Based Mech WT
403,CA,0,2200,90,0,Ground-Based Mech WT
404,CA,0,2200,100,0,Ground-Based Mech WT
405,CA,0,2200,110,0,Ground-Based Mech WT
406,CA,0,2200,120,0,Ground-Based Mech WT
407,CA,0,2200,130,0,Ground-Based Mech WT
408,CA,0,2200,140,0,Ground-Based Mech WT
409,CA,0,2200,150,0,Ground-Based Mech WT
410,CA,0,2200,160,0,Ground-Based Mech WT
411,CA,0,2200,170,0,Ground-Based Mech WT
412,CA,0,2200,180,0,Ground-Based Mech WT
413,CA,0,2200,190,0,Ground-Based Mech WT
414,CA,0,2300,20,0,Ground-Based Mech WT
415,CA,0,2300,30,0,Ground-Based Mech WT
416,CA,0,2300,40,0,Ground-Based Mech WT
417,CA,0,2300,50,0,Ground-Based Mech WT
418,CA,0,2300,60,0,Ground-Based Mech WT
419,CA,0,2300,70,0,Ground-Based Mech WT
420,CA,0,2300,80,0,Ground-Based Mech WT
421,CA,0,2300,90,0,Ground-Based Mech WT
422,CA,0,2300,100,0,Ground-Based Mech WT
423,CA,0,2300,110,0,Ground-Based Mech WT
424,CA,0,2300,120,0,Ground-Based Mech WT
425,CA,0,2300,130,0,Ground-Based Mech WT
426,CA,0,2300,140,0,Ground-Based Mech WT
427,CA,0,2300,150,0,Ground-Based Mech WT
428,CA,0,2300,160,0,Ground-Based Mech WT
429,CA,0,2300,170,0,Ground-Based Mech WT
430,CA,0,2300,180,0,Ground-Based Mech WT
431,CA,0,2300,190,0,Ground-Based Mech WT
432,CA,0,2400,20,0,Ground-Based Mech WT
433,CA,0,2400,30,0,Ground-Based Mech WT
434,CA,0,2400,40,0,Ground-Based Mech WT
435,CA,0,2400,50,0,Ground-Based Mech WT
436,CA,0,2400,60,0,Ground-Based Mech WT
437,CA,0,2400,70,0,Ground-Based Mech WT
438,CA,0,2400,80,0,Ground-Based Mech WT
439,CA,0,2400,90,0,Ground-Based Mech WT
440,CA,0,2400,100,0,Ground-Based Mech WT
441,CA,0,2400,110,0,Ground-Based Mech WT
442,CA,0,2400,120,0,Ground-Based Mech WT
443,CA,0,2400,130,0,Ground-Based Mech WT
444,CA,0,2400,140,0,Ground-Based Mech WT
445,CA,0,2400,150,0,Ground-Based Mech WT
446,CA,0,2400,160,0,Ground-Based Mech WT
447,CA,0,2400,170,0,Ground-Based Mech WT
448,CA,0,2400,180,0,Ground-Based Mech WT
449,CA,0,2400,190,0,Ground-Based Mech WT
450,CA,5,0,20,0,Ground-Based Mech WT
451,CA,5,0,30,0,Ground-Based Mech WT
452,CA,5,0,40,0,Ground-Based Mech WT
453,CA,5,0,50,0,Ground-Based Mech WT
454,CA,5,0,60,0,Ground-Based Mech WT
455,CA,5,0,70,0,Ground-Based Mech WT
456,CA,5,0,80,0,Ground-Based Mech WT
457,CA,5,0,90,0,Ground-Based Mech WT
458,CA,5,0,100,0,Ground-Based Mech WT
459,CA,5,0,110,0,Ground-Based Mech WT
460,CA,5,0,120,0,Ground-Based Mech WT
461,CA,5,0,130,0,Ground-Based Mech WT
462,CA,5,0,140,0,Ground-Based Mech WT
463,CA,5,0,150,0,Ground-Based Mech WT
464,CA,5,0,160,0,Ground-Based Mech WT
465,CA,5,0,170,0,Ground-Based Mech WT
466,CA,5,0,180,0,Ground-Based Mech WT
467,CA,5,0,190,0,Ground-Based Mech WT
468,CA,5,100,20,0,Ground-Based Mech WT
469,CA,5,100,30,0,Ground-Based Mech WT
470,CA,5,100,40,0,Ground-Based Mech WT
471,CA,5,100,50,0,Ground-Based Mech WT
472,CA,5,100,60,0,Ground-Based Mech WT
473,CA,5,100,70,0,Ground-Based Mech WT
474,CA,5,100,80,0,Ground-Based Mech WT
475,CA,5,100,90,0,Ground-Based Mech WT
476,CA,5,100,100,0,Ground-Based Mech WT
477,CA,5,100,110,0,Ground-Based Mech WT
478,CA,5,100,120,0,Ground-Based Mech WT
479,CA,5,100,130,0,Ground-Based Mech WT
480,CA,5,100,140,0,Ground-Based Mech WT
481,CA,5,100,150,0,Ground-Based Mech WT
482,CA,5,100,160,0,Ground-Based Mech WT
483,CA,5,100,170,0,Ground-Based Mech WT
484,CA,5,100,180,0,Ground-Based Mech WT
485,CA,5,100,190,0,Ground-Based Mech WT
486,CA,5,200,20,0,Ground-Based Mech WT
487,CA,5,200,30,0,Ground-Based Mech WT
488,CA,5,200,40,0,Ground-Based Mech WT
489,CA,5,200,50,0,Ground-Based Mech WT
490,CA,5,200,60,0,Ground-Based Mech WT
491,CA,5,200,70,0,Ground-Based Mech WT
492,CA,5,200,80,0,Ground-Based Mech WT
493,CA,5,200,90,0,Ground-Based Mech WT
494,CA,5,200,100,0,Ground-Based Mech WT
495,CA,5,200,110,0,Ground-Based Mech WT
496,CA,5,200,120,0,Ground-Based Mech WT
497,CA,5,200,130,0,Ground-Based Mech WT
498,CA,5,200,140,0,Ground-Based Mech WT
499,CA,5,200,150,0,Ground-Based Mech WT
500,CA,5,200,160,0,Ground-Based Mech WT
501,CA,5,200,170,0,Ground-Based Mech WT
502,CA,5,200,180,0,Ground-Based Mech WT
503,CA,5,200,190,0,Ground-Based Mech WT
504,CA,5,300,20,0,Ground-Based Mech WT
505,CA,5,300,30,0,Ground-Based Mech WT
506,CA,5,300,40,0,Ground-Based Mech WT
507,CA,5,300,50,0,Ground-Based Mech WT
508,CA,5,300,60,0,Ground-Based Mech WT
509,CA,5,300,70,0,Ground-Based Mech WT
510,CA,5,300,80,0,Ground-Based Mech WT
511,CA,5,300,90,0,Ground-Based Mech WT
512,CA,5,300,100,0,Ground-Based Mech WT
513,CA,5,300,110,0,Ground-Based Mech WT
514,CA,5,300,120,0,Ground-Based Mech WT
515,CA,5,300,130,0,Ground-Based Mech WT
516,CA,5,300,140,0,Ground-Based Mech WT
517,CA,5,300,150,0,Ground-Based Mech WT
518,CA,5,300,160,0,Ground-Based Mech WT
519,CA,5,300,170,0,Ground-Based Mech WT
520,CA,5,300,180,0,Ground-Based Mech WT
521,CA,5,300,190,0,Ground-Based Mech WT
522,CA,5,400,20,0,Ground-Based Mech WT
523,CA,5,400,30,0,Ground-Based Mech WT
524,CA,5,400,40,0,Ground-Based Mech WT
525,CA,5,400,50,0,Ground-Based Mech WT
526,CA,5,400,60,0,Ground-Based Mech WT
527,CA,5,400,70,0,Ground-Based Mech WT
528,CA,5,400,80,0,Ground-Based Mech WT
529,CA,5,400,90,0,Ground-Based Mech WT
530,CA,5,400,100,0,Ground-Based Mech WT
531,CA,5,400,110,0,Ground-Based Mech WT
532,CA,5,400,120,0,Ground-Based Mech WT
533,CA,5,400,130,0,Ground-Based Mech WT
534,CA,5,400,140,0,Ground-Based Mech WT
535,CA,5,400,150,0,Ground-Based Mech WT
536,CA,5,400,160,0,Ground-Based Mech WT
537,CA,5,400,170,0,Ground-Based Mech WT
538,CA,5,400,180,0,Ground-Based Mech WT
539,CA,5,400,190,0,Ground-Based Mech WT
540,CA,5,500,20,0,Ground-Based Mech WT
541,CA,5,500,30,0,Ground-Based Mech WT
542,CA,5,500,40,0,Ground-Based Mech WT
543,CA,5,500,50,0,Ground-Based Mech WT
544,CA,5,500,60,0,Ground-Based Mech WT
545,CA,5,500,70,0,Ground-Based Mech WT
