"gid","bus_number","bus_name","long_name","voltage","bus_type","area","county","state","loc_code","source","entity_id","layer_id","the_geom"
3632,31075,"SIERA_PC","31075_SIERA_PC",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204941,2345,"0101000020E61000001CEBE2361A0B5FC0CE1C925A286B4440"
8584,45401,"LAKEEARL","45401_LAKEEARL",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209933,2345,"0101000020E6100000DEE68D93C20A5FC0B2463D44A3E74440"
8591,45408,"NORTHCST","45408_NORTHCST",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209940,2345,"0101000020E610000057CD7344BE0A5FC0CF4A5AF10DE14440"
8605,45422,"STLINETP","45422_STLINETP",69,"LOAD","NORTHWEST","Del Norte","CA","4","Ventyx Research",1209954,2345,"0101000020E6100000520FD1E80E0A5FC079CC4065FCED4440"
8604,45421,"SMITH R","45421_SMITH R",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209953,2345,"0101000020E610000030A017EE5C095FC0467EFD101BF84440"
8603,45420,"SIMONSON","45420_SIMONSON",69,"LOAD","NORTHWEST","Del Norte","CA","4","Ventyx Research",1209952,2345,"0101000020E6100000778192020B095FC0B6BB07E8BEF84440"
8569,45386,"DELNORT2","45386_DELNORT2",69,"LOAD","NORTHWEST","Del Norte","CA","1","Previously Mapped Substation; Aerial Imagery",1209918,2345,"0101000020E6100000CB9E0436E7085FC01DE8A1B60DEF4440"
8599,45416,"RED TAP","45416_RED TAP",69,"LOAD","NORTHWEST","Del Norte","CA","4","Ventyx Research",1209948,2345,"0101000020E6100000EFE3688EAC085FC01BBCAFCA85E04440"
3652,31102,"NEWBURG","31102_NEWBURG",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204962,2345,"0101000020E610000033A31F0DA7085FC04C6F7F2E1A4C4440"
3637,31082,"HARRIS","31082_HARRIS",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204947,2345,"0101000020E61000007EAB75E272085FC0156F641EF9634440"
3614,31052,"TRINIDAD","31052_TRINIDAD",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204923,2345,"0101000020E6100000D21C59F965085FC01F680586AC884440"
8587,45404,"LKEARLTP","45404_LKEARLTP",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209936,2345,"0101000020E61000001AE0826C59085FC051DEC7D11CE74440"
8600,45417,"REDWOOD","45417_REDWOOD",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209949,2345,"0101000020E6100000D8F0F44A59085FC034D769A4A5E24440"
3641,31088,"HMBLT JT","31088_HMBLT JT",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204951,2345,"0101000020E6100000E27492AD2E075FC04E452A8C2D644440"
3655,31105,"RIODLLTP","31105_RIODLLTP",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204965,2345,"0101000020E6100000FF40B96DDF065FC0755776C1E0484440"
3653,31103,"PCLUMBER","31103_PCLUMBER",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Previously Mapped Plant; Aerial Imagery",1204963,2345,"0101000020E6100000CA8B4CC0AF065FC0C49448A2973D4440"
8589,45406,"M REDWTP","45406_M REDWTP",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209938,2345,"0101000020E61000006FB88FDC9A065FC001A1F5F065DE4440"
3651,31101,"SCOTIATP","31101_SCOTIATP",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204961,2345,"0101000020E6100000EFFE78AF5A065FC04DBC033C693F4440"
3613,31051,"BIG_LAGN","31051_BIG_LAGN",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204922,2345,"0101000020E61000001B0E4B033F065FC0F1A0D9756F954440"
3628,31071,"ARCTA_J2","31071_ARCTA_J2",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204937,2345,"0101000020E61000009F5912A0A6055FC013B9E00CFE6E4440"
3654,31104,"CARLOTTA","31104_CARLOTTA",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204964,2345,"0101000020E61000000806103E94055FC0DFFE5C3464464440"
3627,31070,"ARCTAJT2","31070_ARCTAJT2",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204936,2345,"0101000020E610000027FA7C9411055FC0FB93F8DC096E4440"
3616,31056,"JANCK TP","31056_JANCK TP",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204925,2345,"0101000020E6100000DA740470B3045FC05DC47762D6734440"
8610,45427,"YUROK","45427_YUROK",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209959,2345,"0101000020E6100000342F87DD77035FC0AAF23D2311C64440"
3612,31050,"ORICK","31050_ORICK",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204921,2345,"0101000020E61000003DD52137C3025FC008E412471EA64440"
8588,45405,"M REDWOD","45405_M REDWOD",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209937,2345,"0101000020E61000009B38B9DFA1025FC0AC8DB1135EDE4440"
3622,31063,"BCHIP_TP","31063_BCHIP_TP",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204931,2345,"0101000020E610000048C153C895005FC07D76C075C5724440"
3620,31061,"BCHIPMIL","31061_BCHIPMIL",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204929,2345,"0101000020E6100000018750A566005FC06DE34F5436744440"
3621,31062,"BLUE LKE","31062_BLUE LKE",60,"LOAD","PG AND E","Humboldt","CA","2","Previously Mapped Substation; Previously Mapped Plant; Street Address",1204930,2345,"0101000020E6100000C4B3041901FF5EC0ACE3F8A1D26C4440"
3626,31068,"SIMPSON","31068_SIMPSON",60,"LOAD","PG AND E","Humboldt","CA","4","Ventyx Research",1204935,2345,"0101000020E6100000A2B77878CFFD5EC0D0F1D1E28C6D4440"
3619,31060,"ULTR_PWR","31060_ULTR_PWR",60,"LOAD","PG AND E","Humboldt","CA","4","Ventyx Research",1204928,2345,"0101000020E61000001A36CAFACDFC5EC08BDEA9807B6E4440"
3657,31108,"SWNS FLT","31108_SWNS FLT",60,"LOAD","PG AND E","Humboldt","CA","4","Ventyx Research",1204967,2345,"0101000020E61000001FD61BB5C2FB5EC01F477364E5414440"
3644,31092,"MPLE CRK","31092_MPLE CRK",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204954,2345,"0101000020E6100000BC5D2F4D11F75EC0C422861DC6624440"
3643,31091,"RDGE CBN","31091_RDGE CBN",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204953,2345,"0101000020E6100000B8CB7EDDE9F55EC0F1D7648D7A5E4440"
3660,31112,"FRUITLND","31112_FRUITLND",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204971,2345,"0101000020E61000002B8881AE7DF55EC0F16261889C244440"
3646,31094,"RUSS RCH","31094_RUSS RCH",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204956,2345,"0101000020E6100000BF2A172AFFF45EC09CDF30D120694440"
3729,31311,"FT_BRGD2","31311_FT_BRGD2",12.47,"LOAD","PG AND E","Mendocino","CA","1","Previously Mapped Substation; Aerial Imagery",1205040,2345,"0101000020E610000055849B8C2AF35EC04628B682A6B74340"
3732,31315,"BIG_RVR_","31315_BIG_RVR_",12.47,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205043,2345,"0101000020E610000083FB010F0CF35EC07F87A2409FA84340"
3662,31116,"GRBRVLLE","31116_GRBRVLLE",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204973,2345,"0101000020E6100000287D21E4BCF25EC0FAD005F52D0D4440"
3659,31110,"BRDGVLLE","31110_BRDGVLLE",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204970,2345,"0101000020E61000001F645930F1F15EC0608F8994663D4440"
3664,31120,"FRUTLDJT","31120_FRUTLDJT",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204975,2345,"0101000020E6100000DA740470B3F05EC0682096CD1C224440"
3665,31122,"FTSWRDJT","31122_FTSWRDJT",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204976,2345,"0101000020E610000082C7B7770DEF5EC06D0377A04E194440"
3734,31317,"ELK_D","31317_ELK_D",12.47,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205045,2345,"0101000020E610000091D442C9E4ED5EC0E659492BBE914340"
3649,31098,"HOOPA","31098_HOOPA",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204959,2345,"0101000020E6100000102219726CEB5EC09ACFB9DBF5864440"
3736,31319,"PNT_AREN","31319_PNT_AREN",12.47,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205047,2345,"0101000020E6100000B7EC10FFB0E95EC0FB5C6DC5FE764340"
3648,31096,"WILLWCRK","31096_WILLWCRK",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204958,2345,"0101000020E61000003315E29178E95EC06747AAEFFC7A4440"
3661,31114,"FRT SWRD","31114_FRT SWRD",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204972,2345,"0101000020E6100000EDD632198EE75EC07BF65CA626194440"
3739,31322,"GARCIA J","31322_GARCIA J",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205050,2345,"0101000020E610000044300E2E1DE55EC0B341261939734340"
3663,31118,"KEKAWAKA","31118_KEKAWAKA",60,"LOAD","PG AND E","Humboldt","CA","2","Previously Mapped Substation; Previously Mapped Plant; Ventyx Research",1204974,2345,"0101000020E61000001D03B2D7BBE35EC06ABC7493180C4440"
3862,31554,"GROUSCRK","31554_GROUSCRK",60,"LOAD","PG AND E","Trinity","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205173,2345,"0101000020E61000008388D4B48BE25EC0E4F90CA8375D4440"
3645,31093,"HYMPOMJT","31093_HYMPOMJT",60,"LOAD","PG AND E","Trinity","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204955,2345,"0101000020E6100000691CEA7761E05EC053B29C84D2534440"
3737,31320,"GARCIA","31320_GARCIA",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205048,2345,"0101000020E610000083A6255646E05EC00B613596B0724340"
3647,31095,"HYAMPOM","31095_HYAMPOM",60,"LOAD","PG AND E","Trinity","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204957,2345,"0101000020E61000000AD6389B8EDF5EC04165FCFB8C514440"
3754,31346,"GUALALA","31346_GUALALA",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205065,2345,"0101000020E61000003C4ED1915CDF5EC0B5C35F9335664340"
3726,31308,"LYTNVLLE","31308_LYTNVLLE",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205037,2345,"0101000020E610000072C3EFA65BDE5EC0D731AEB838DA4340"
3740,31324,"PHILO","31324_PHILO",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205051,2345,"0101000020E6100000E0D91EBDE1DB5EC0F65E7CD11E894340"
8579,45396,"HAPPYCMP","45396_HAPPYCMP",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209928,2345,"0101000020E6100000D46531B1F9D75EC0548CF337A1E44440"
8580,45397,"HAPPYTAP","45397_HAPPYTAP",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209929,2345,"0101000020E61000007C4276DEC6D65EC07D21E4BCFFEB4440"
3792,31397,"WILLITSJ","31397_WILLITSJ",60,"LOAD","PG AND E","Mendocino","CA","1","Previously Mapped Substation; Aerial Imagery",1205103,2345,"0101000020E61000008733BF9A03D55EC0E2783E03EAB34340"
3755,31348,"ANNAPOLS","31348_ANNAPOLS",60,"LOAD","PG AND E","Sonoma","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205066,2345,"0101000020E6100000183E22A644D35EC0100533A6605B4340"
3728,31310,"COVELO6","31310_COVELO6",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205039,2345,"0101000020E610000069C9E369F9D25EC045B9347EE1E54340"
3861,31553,"BIG BAR","31553_BIG BAR",60,"LOAD","PG AND E","Trinity","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205172,2345,"0101000020E6100000C119FCFD62CE5EC01D71C806D25B4440"
3756,31350,"FORT RSS","31350_FORT RSS",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205067,2345,"0101000020E61000003083312251CE5EC04513286211454340"
3743,31328,"MASONITE","31328_MASONITE",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205054,2345,"0101000020E610000056D28A6F28CE5EC0753BFBCA83964340"
3744,31329,"MASON TP","31329_MASON TP",60,"LOAD","PG AND E","Mendocino","CA","4","Ventyx Research",1205055,2345,"0101000020E61000004225AE635CCD5EC0E90E62670A994340"
3808,31428,"MENDCNTR","31428_MENDCNTR",13.2,"LOAD","PG AND E","Mendocino","CA","1","Previously Mapped Substation; Aerial Imagery",1205119,2345,"0101000020E61000001536035C90CC5EC09432A9A10DA04340"
3742,31327,"UKIAH JT","31327_UKIAH JT",60,"LOAD","PG AND E","Mendocino","CA","1","Previously Mapped Substation; Aerial Imagery",1205053,2345,"0101000020E61000009010E50B5ACC5EC06760E4654D924340"
3741,31326,"PHLO JCT","31326_PHLO JCT",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205052,2345,"0101000020E6100000BA6587F887CB5EC085E97B0DC18D4340"
8663,45481,"SEIAD","45481_SEIAD",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1210012,2345,"0101000020E6100000D19332A9A1CA5EC0B4942C27A1EA4440"
3757,31352,"SLMN JCT","31352_SLMN JCT",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205068,2345,"0101000020E6100000FB78E8BB5BC85EC073D9E89C9F3C4340"
3724,31302,"PTTR VLY","31302_PTTR VLY",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Previously Mapped Plant; Regional Maps; Venty",1205035,2345,"0101000020E6100000D32D3BC43FC85EC097C62FBC92AE4340"
3749,31336,"HPLND JT","31336_HPLND JT",60,"LOAD","PG AND E","Mendocino","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205060,2345,"0101000020E610000013D4F02DACC75EC0FA2B64AE0C7C4340"
3758,31354,"SLMN CRK","31354_SLMN CRK",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205069,2345,"0101000020E6100000008FA850DDC25EC094F8DC09F62B4340"
8411,45220,"HAMBURG","45220_HAMBURG",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209760,2345,"0101000020E6100000AE9D280989C25EC0FA0CA837A3E04440"
3748,31335,"GRANITE","31335_GRANITE",60,"LOAD","PG AND E","Mendocino","CA","4","Ventyx Research",1205059,2345,"0101000020E61000001A6B7F677BC15EC0841266DAFE7D4340"
3863,31555,"MSS TAP2","31555_MSS TAP2",60,"LOAD","PG AND E","Trinity","CA","4","Ventyx Research",1205174,2345,"0101000020E6100000D942908312C15EC087A6ECF4835A4440"
3759,31356,"MONTE RO","31356_MONTE RO",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205070,2345,"0101000020E6100000CAC51858C7C05EC08A1F63EE5A3C4340"
3770,31370,"CLVRDLJT","31370_CLVRDLJT",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205081,2345,"0101000020E6100000F8A41309A6C05EC00742B28009664340"
3745,31330,"UPPR LKE","31330_UPPR LKE",60,"LOAD","PG AND E","Lake","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205056,2345,"0101000020E61000000B9B012EC8BC5EC07D23BA675D934340"
8662,45480,"SCOTTBAR","45480_SCOTTBAR",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1210011,2345,"0101000020E610000036B1C05774BC5EC0DD787764ACDC4440"
3746,31332,"HARTLEY","31332_HARTLEY",60,"LOAD","PG AND E","Lake","CA","1","Previously Mapped Substation; Aerial Imagery",1205057,2345,"0101000020E6100000944A7842AFBB5EC01669E21DE0894340"
3747,31334,"CLER LKE","31334_CLER LKE",60,"LOAD","PG AND E","Lake","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205058,2345,"0101000020E610000009C03FA54ABB5EC0DE74CB0EF17F4340"
3864,31556,"TRINITY","31556_TRINITY",60,"LOAD","PG AND E","Trinity","CA","1","Previously Mapped Substation; Aerial Imagery",1205175,2345,"0101000020E61000001CB7989F1BBB5EC0882F1345485B4440"
3769,31368,"GYSRVLLE","31368_GYSRVLLE",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205080,2345,"0101000020E6100000FE9DEDD11BBA5EC0F67CCD72D95A4340"
6112,38050,"HELDSBRG","38050_HELDSBRG",60,"LOAD","PG AND E","Sonoma","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1207443,2345,"0101000020E610000035289A07B0B95EC0779E78CE164E4340"
3763,31360,"MIRABEL","31360_MIRABEL",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205074,2345,"0101000020E6100000D6FD63213AB95EC022382EE3A63E4340"
3762,31359,"WHLR TAP","31359_WHLR TAP",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205073,2345,"0101000020E61000004242942F68B85EC0A986FD9E58414340"
8700,45518,"WALKER B","45518_WALKER B",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1210049,2345,"0101000020E61000002C11A8FE41B85EC01BD5E940D6BB4440"
3777,31380,"FTCH MTN","31380_FTCH MTN",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205088,2345,"0101000020E61000007288B83995B65EC07714E7A8A34D4340"
3766,31363,"TRNTN_JC","31363_TRNTN_JC",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205077,2345,"0101000020E6100000EACC3D247CB65EC080D591239D3D4340"
3767,31364,"MOLINO","31364_MOLINO",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205078,2345,"0101000020E6100000126745D444B55EC0CDB051D66F364340"
8431,45240,"INDIANCR","45240_INDIANCR",69,"LOAD","NORTHWEST","Siskiyou","CA","4","Ventyx Research",1209780,2345,"0101000020E6100000A321E3512AB55EC0D122DBF97ED84440"
8385,45192,"FT JONES","45192_FT JONES",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209734,2345,"0101000020E6100000EACF7EA488B45EC00EF7915B93CA4440"
3753,31344,"EGLE RCK","31344_EGLE RCK",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205064,2345,"0101000020E610000043E6CAA0DAB35EC0D0B52FA0176A4340"
3771,31372,"GYSR 1-2","31372_GYSR 1-2",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205082,2345,"0101000020E610000050C3B7B06EB35EC009A9DBD957664340"
8721,45539,"YUBA","45539_YUBA",69,"LOAD","NORTHWEST","Siskiyou","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1210070,2345,"0101000020E6100000A7E8482EFFB25EC0E65C8AABCAA84440"
4402,32673,"TOCA_JCT","32673_TOCA_JCT",60,"LOAD","PG AND E","Marin","CA","1","Previously Mapped Substation; Aerial Imagery",1205714,2345,"0101000020E61000008718AF7955B25EC0B972F6CE68054340"
4401,32672,"OLEMA","32672_OLEMA",60,"LOAD","PG AND E","Marin","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205713,2345,"0101000020E6100000EFE192E34EB25EC0925ED4EE57054340"
3768,31366,"MLNO JCT","31366_MLNO JCT",60,"LOAD","PG AND E","Sonoma","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205079,2345,"0101000020E61000002BA6D24F38B15EC05F24B4E55C364340"
3775,31378,"FULTON","31378_FULTON",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205086,2345,"0101000020E6100000B2497EC4AFB05EC084640113B83F4340"
3782,31385,"LAGUNATP","31385_LAGUNATP",60,"LOAD","PG AND E","Sonoma","CA","4","Ventyx Research",1205093,2345,"0101000020E61000007F33315D88B05EC0683C11C4792E4340"
3780,31383,"LAGUNA","31383_LAGUNA",60,"LOAD","PG AND E","Sonoma","CA","4","Ventyx Research",1205091,2345,"0101000020E610000023A46E675FB05EC0683C11C4792E4340"
3789,31393,"SNMALDFL","31393_SNMALDFL",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Previously Mapped Plant; Aerial Imagery",1205100,2345,"0101000020E6100000BE6BD097DEAF5EC017D522A298264340"
3787,31391,"SNMA TAP","31391_SNMA TAP",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Previously Mapped Plant; Aerial Imagery",1205098,2345,"0101000020E6100000D3C08F6AD8AF5EC071546EA296264340"
3750,31338,"KONOCTI6","31338_KONOCTI6",60,"LOAD","PG AND E","Lake","CA","1","Previously Mapped Substation; Aerial Imagery",1205061,2345,"0101000020E6100000F8DF4A766CAF5EC08CA19C6857774340"
3781,31384,"COTATI","31384_COTATI",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205092,2345,"0101000020E6100000C40B2252D3AE5EC05B971AA19F274340"
4400,32671,"BOLINAS","32671_BOLINAS",60,"LOAD","PG AND E","Marin","CA","1","Previously Mapped Substation; Aerial Imagery",1205712,2345,"0101000020E61000009946938B31AD5EC0274D83A279F84240"
3785,31389,"PETC_JCT","31389_PETC_JCT",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205096,2345,"0101000020E61000005ABC581822AA5EC00B0C59DDEA214340"
4403,32674,"WOODACRE","32674_WOODACRE",60,"LOAD","PG AND E","Marin","CA","1","Previously Mapped Substation; Aerial Imagery",1205715,2345,"0101000020E61000007AC37DE4D6A95EC07842AF3F89014340"
3786,31390,"PETLMA A","31390_PETLMA A",60,"LOAD","PG AND E","Sonoma","CA","1","Previously Mapped Substation; Aerial Imagery",1205097,2345,"0101000020E61000008A3BDEE4B7A85EC027DA5548F91D4340"
8719,45537,"YREKA","45537_YREKA",69,"LOAD","NORTHWEST","Siskiyou","CA","1","Previously Mapped Substation; Aerial Imagery",1210068,2345,"0101000020E6100000702711E15FA85EC04B7842AF3FDD4440"
4398,32669,"STAF_JCT","32669_STAF_JCT",60,"LOAD","PG AND E","Marin","CA","1","Previously Mapped Substation; Aerial Imagery",1205710,2345,"0101000020E61000009F7422C154A85EC09F39EB538E0F4340"
3783,31386,"MCDWLLSW","31386_MCDWLLSW",60,"LOAD","PG AND E","Sonoma","CA","4","Ventyx Research",1205094,2345,"0101000020E6100000D53E1D8F19A85EC03F90BC7328214340"
3870,31564,"FRNCHGLH","31564_FRNCHGLH",60,"LOAD","PG AND E","Shasta","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1205181,2345,"0101000020E6100000015130630AA85EC0B7EEE6A90E574440"
